Rank,Word,Freq,Caps
1,the,50074257,0.11
2,to,25557793,0.02
3,and,24821791,0.09
4,of,23605964,0.01
5,a,21889251,0.05
6,in,16560377,0.08
7,i,14722307,0.99
8,that,13441314,0.09
9,you,12060967,0.20
10,it,11111285,0.24
11,is,10173313,0.03
12,for,8498936,0.06
13,on,6901553,0.04
14,was,6851383,0.01
15,he,6469768,0.30
16,with,6444400,0.04
17,this,5562393,0.21
18,as,5496470,0.10
19,we,5183326,0.32
20,be,5048552,0.02
21,have,5025573,0.02
22,are,4985174,0.04
23,not,4686501,0.07
24,but,4603799,0.36
25,at,4526914,0.07
26,they,4505732,0.23
27,do,4502940,0.13
28,what,3811194,0.34
29,his,3762369,0.07
30,from,3731282,0.04
31,by,3453002,0.06
32,or,3421821,0.05
33,she,3189351,0.32
34,my,3107804,0.15
35,all,3097696,0.15
36,an,3061527,0.05
37,there,2914456,0.27
38,so,2902801,0.31
39,her,2892425,0.05
40,about,2891703,0.03
41,me,2851610,0.03
42,one,2818942,0.13
43,had,2724328,0.01
44,if,2710989,0.33
45,your,2578275,0.09
46,can,2531671,0.06
47,who,2510945,0.08
48,no,2488975,0.37
49,out,2467523,0.02
50,has,2444447,0.01
51,their,2417362,0.03
52,were,2382804,0.01
53,like,2368863,0.06
54,just,2352138,0.12
55,would,2350385,0.03
56,up,2333666,0.02
57,when,2320759,0.24
58,more,2288032,0.05
59,will,2264384,0.04
60,know,2112737,0.02
61,said,2052406,0.01
62,did,1890945,0.09
63,been,1874778,0.01
64,people,1784509,0.08
65,get,1744578,0.09
66,him,1719620,0.02
67,time,1701102,0.04
68,them,1693142,0.01
69,some,1686328,0.12
70,how,1667534,0.29
71,now,1655217,0.26
72,which,1614076,0.04
73,could,1530721,0.03
74,think,1493360,0.03
75,than,1476213,0.01
76,our,1468290,0.10
77,into,1461816,0.01
78,other,1454666,0.05
79,right,1444817,0.12
80,here,1414885,0.15
81,well,1388889,0.49
82,new,1371340,0.36
83,then,1350288,0.21
84,because,1346956,0.14
85,go,1262075,0.11
86,see,1258974,0.11
87,back,1254771,0.04
88,only,1231337,0.07
89,these,1223774,0.19
90,over,1223233,0.05
91,going,1223128,0.02
92,us,1161894,0.12
93,also,1143161,0.07
94,two,1141705,0.10
95,first,1140093,0.12
96,its,1139557,0.05
97,even,1135249,0.15
